

	 Date, Time 	 	 Weather:
	2017-02-09 19:45:07.387872	Partly Cloudy
	2017-02-09 19:47:00.387898	Clear
	2017-02-09 19:48:41.387908	Mostly Cloudy
	2017-02-09 19:48:41.387916	Partly Cloudy
	2017-02-09 19:48:41.387922	Partly Cloudy
	2017-02-09 19:48:41.387929	Clear
	2017-02-09 19:48:41.387936	Partly Cloudy
	2017-02-09 19:48:41.387943	Clear
	2017-02-09 19:48:41.387950	Mostly Cloudy
	2017-02-09 19:48:41.387957	Partly Cloudy
	2017-02-09 19:48:41.387963	Mostly Cloudy
	2017-02-09 19:48:41.387971	Clear
